127.0.0.1, 2019-04-20 19:57:28, GET, /hw2/default/index, HTTP/1.1, 200, 0.120580
127.0.0.1, 2019-04-20 19:57:30, GET, /hw2/static/images/favicon.ico, HTTP/1.1, 200, 0.000467
127.0.0.1, 2019-04-20 19:57:38, GET, /admin/default/site, HTTP/1.1, 303, 0.622825
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/default/index, HTTP/1.1, 200, 0.473649
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/js/web2py.js, HTTP/1.1, 200, 0.004997
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.075930
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/css/calendar.css, HTTP/1.1, 200, 0.108274
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/js/calendar.js, HTTP/1.1, 200, 0.316796
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.316114
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.183054
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001092
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.379723
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.055433
127.0.0.1, 2019-04-20 19:57:39, GET, /admin/static/_2.18.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.093800
127.0.0.1, 2019-04-20 19:57:40, GET, /admin/static/_2.18.4/js/jquery.js, HTTP/1.1, 200, 0.696412
127.0.0.1, 2019-04-20 19:57:40, GET, /admin/static/_2.18.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.526040
127.0.0.1, 2019-04-20 19:57:40, GET, /admin/static/_2.18.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.285382
127.0.0.1, 2019-04-20 19:57:40, GET, /admin/static/_2.18.4/images/questions.png, HTTP/1.1, 200, 0.297737
127.0.0.1, 2019-04-20 19:57:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000512
127.0.0.1, 2019-04-20 19:57:44, POST, /admin/default/index, HTTP/1.1, 303, 0.170050
127.0.0.1, 2019-04-20 19:57:44, GET, /admin/default/site, HTTP/1.1, 200, 0.198097
127.0.0.1, 2019-04-20 19:57:45, GET, /admin/static/_2.18.4/images/folder_locked.png, HTTP/1.1, 200, 0.020577
127.0.0.1, 2019-04-20 19:57:45, GET, /admin/static/_2.18.4/images/folder.png, HTTP/1.1, 200, 0.022184
127.0.0.1, 2019-04-20 19:57:45, GET, /admin/static/_2.18.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.005907
127.0.0.1, 2019-04-20 19:57:45, POST, /admin/default/check_version, HTTP/1.1, 200, 0.537752
127.0.0.1, 2019-04-20 19:57:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000557
127.0.0.1, 2019-04-20 19:57:49, GET, /admin/default/index, HTTP/1.1, 303, 0.010198
127.0.0.1, 2019-04-20 19:57:49, GET, /admin/default/site, HTTP/1.1, 200, 0.164952
127.0.0.1, 2019-04-20 19:57:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000394
127.0.0.1, 2019-04-20 19:57:52, GET, /hw2/default/index, HTTP/1.1, 200, 0.140307
127.0.0.1, 2019-04-20 21:32:44, GET, /, HTTP/1.1, 303, 15.017172
